client_id,clip_applied,clip_factor,communication_compressed_bytes,communication_original_bytes,communication_precision,communication_reduction_percentage,communication_sparsification_enabled,communication_sparsity_ratio,noise_scale,num_samples,privacy_enabled,privacy_overhead_time,round_num,train_accuracy,train_loss,training_time,val_accuracy,val_loss
0,False,1.0,843284.0,1686568.0,float16,50.0,True,0.3,0.05,3000,True,0.004574298858642578,0,0.17933333333333334,2.2557316811879478,0.9829518795013428,,
1,False,1.0,843284.0,1686568.0,float16,50.0,True,0.3,0.05,3000,True,0.004336118698120117,0,0.20166666666666666,2.251431870142619,0.9761378765106201,,
2,False,1.0,843284.0,1686568.0,float16,50.0,True,0.3,0.05,3000,True,0.004410982131958008,0,0.19666666666666666,2.256327479680379,0.9751648902893066,,
3,False,1.0,843284.0,1686568.0,float16,50.0,True,0.3,0.05,3000,True,0.004446983337402344,0,0.19933333333333333,2.2520121822357178,0.9746239185333252,,
14,False,1.0,843284.0,1686568.0,float16,50.0,True,0.3,0.05,3000,True,0.004364013671875,0,0.17833333333333334,2.253437993367513,0.9747090339660645,,
4,False,1.0,843284.0,1686568.0,float16,50.0,True,0.3,0.05,3000,True,0.004366159439086914,1,0.27,2.119818836212158,0.9787383079528809,,
5,False,1.0,843284.0,1686568.0,float16,50.0,True,0.3,0.05,3000,True,0.004556894302368164,1,0.274,2.119272228558858,0.9844439029693604,,
6,False,1.0,843284.0,1686568.0,float16,50.0,True,0.3,0.05,3000,True,0.00439000129699707,1,0.26666666666666666,2.1187727546691892,1.0005152225494385,,
7,False,1.0,843284.0,1686568.0,float16,50.0,True,0.3,0.05,3000,True,0.004411220550537109,1,0.25366666666666665,2.1209546620051065,0.9776949882507324,,
8,False,1.0,843284.0,1686568.0,float16,50.0,True,0.3,0.05,3000,True,0.004455089569091797,1,0.2773333333333333,2.127099112510681,0.9782860279083252,,
9,False,1.0,843284.0,1686568.0,float16,50.0,True,0.3,0.05,3000,True,0.00439906120300293,2,0.388,1.816931363105774,0.9790089130401611,,
10,False,1.0,843284.0,1686568.0,float16,50.0,True,0.3,0.05,3000,True,0.004403829574584961,2,0.3893333333333333,1.778361966451009,0.9868481159210205,,
11,False,1.0,843284.0,1686568.0,float16,50.0,True,0.3,0.05,3000,True,0.004384040832519531,2,0.36866666666666664,1.799270858446757,0.9814450740814209,,
12,False,1.0,843284.0,1686568.0,float16,50.0,True,0.3,0.05,3000,True,0.00440216064453125,2,0.38033333333333336,1.7799862744013468,0.975273847579956,,
17,False,1.0,843284.0,1686568.0,float16,50.0,True,0.3,0.05,3000,True,0.0043981075286865234,2,0.39366666666666666,1.7758749745686848,0.9790201187133789,,
13,False,1.0,843284.0,1686568.0,float16,50.0,True,0.3,0.05,3000,True,0.004554033279418945,3,0.46166666666666667,1.5540144408543906,1.01308012008667,,
15,False,1.0,843284.0,1686568.0,float16,50.0,True,0.3,0.05,3000,True,0.004353046417236328,3,0.4816666666666667,1.5342757860819498,0.9796760082244873,,
16,False,1.0,843284.0,1686568.0,float16,50.0,True,0.3,0.05,3000,True,0.004374980926513672,3,0.45466666666666666,1.570097653388977,0.9777529239654541,,
18,False,1.0,843284.0,1686568.0,float16,50.0,True,0.3,0.05,3000,True,0.004335880279541016,3,0.44966666666666666,1.600634204864502,0.9745328426361084,,
9,False,1.0,843284.0,1686568.0,float16,50.0,True,0.3,0.05,3000,True,0.004673004150390625,3,0.4513333333333333,1.6058302272160847,0.9856269359588623,,
19,False,1.0,843284.0,1686568.0,float16,50.0,True,0.3,0.05,3000,True,0.004425048828125,4,0.5053333333333333,1.4509379895528158,0.9909830093383789,,
15,False,1.0,843284.0,1686568.0,float16,50.0,True,0.3,0.05,3000,True,0.0043430328369140625,4,0.5086666666666667,1.4722335685094197,1.0050239562988281,,
13,False,1.0,843284.0,1686568.0,float16,50.0,True,0.3,0.05,3000,True,0.00438690185546875,4,0.503,1.4386906983057657,0.9793221950531006,,
16,False,1.0,843284.0,1686568.0,float16,50.0,True,0.3,0.05,3000,True,0.00481414794921875,4,0.49166666666666664,1.4746799084345499,0.9996521472930908,,
1,False,1.0,843284.0,1686568.0,float16,50.0,True,0.3,0.05,3000,True,0.004498958587646484,4,0.49966666666666665,1.446086417198181,0.9880127906799316,,
