client_id,clip_applied,clip_factor,communication_compressed_bytes,communication_original_bytes,communication_precision,communication_reduction_percentage,communication_sparsification_enabled,communication_sparsity_ratio,noise_scale,num_samples,privacy_enabled,privacy_overhead_time,round_num,train_accuracy,train_loss,training_time,val_accuracy,val_loss
0,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,2.1457672119140625e-06,0,0.17933333333333334,2.2557316811879478,1.0105290412902832,,
1,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,2.1457672119140625e-06,0,0.19666666666666666,2.252476578394572,0.9824719429016113,,
2,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,2.1457672119140625e-06,0,0.18533333333333332,2.2535700384775796,0.9749009609222412,,
3,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,1.9073486328125e-06,0,0.178,2.2531237659454346,1.0036978721618652,,
14,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,2.1457672119140625e-06,0,0.17733333333333334,2.2551304658253986,0.9749040603637695,,
4,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,1.9073486328125e-06,1,0.35433333333333333,2.0287543614705403,1.0201570987701416,,
5,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,2.1457672119140625e-06,1,0.36566666666666664,2.008848276456197,0.9857590198516846,,
6,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,3.0994415283203125e-06,1,0.37233333333333335,2.0099171129862468,0.9776771068572998,,
7,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,1.9073486328125e-06,1,0.353,2.0269878810246786,1.1097798347473145,,
8,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,1.9073486328125e-06,1,0.365,2.0334983943303424,0.9752089977264404,,
9,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,3.0994415283203125e-06,2,0.4786666666666667,1.5955015004475912,0.9860548973083496,,
10,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,3.0994415283203125e-06,2,0.482,1.5924602139790853,0.9868059158325195,,
11,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,1.9073486328125e-06,2,0.488,1.5961282790501912,0.9851388931274414,,
12,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,2.1457672119140625e-06,2,0.4746666666666667,1.5733059867223105,0.9806079864501953,,
17,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,3.0994415283203125e-06,2,0.47333333333333333,1.5889559965133666,0.9781558513641357,,
13,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,3.0994415283203125e-06,3,0.551,1.3332096071243287,1.018122911453247,,
15,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,3.0994415283203125e-06,3,0.546,1.3543760080337524,0.9821469783782959,,
16,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,1.9073486328125e-06,3,0.543,1.3388083264033,0.9952270984649658,,
18,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,1.9073486328125e-06,3,0.5526666666666666,1.3573780234654744,0.9896750450134277,,
9,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,9.5367431640625e-07,3,0.55,1.3499157985051473,0.989447832107544,,
19,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,2.1457672119140625e-06,4,0.5906666666666667,1.2121472094853718,0.9989800453186035,,
18,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,1.9073486328125e-06,4,0.5976666666666667,1.21726668993632,1.032106876373291,,
15,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,2.1457672119140625e-06,4,0.5913333333333334,1.2039341395696004,0.987138032913208,,
13,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,1.9073486328125e-06,4,0.592,1.212487658818563,1.0085411071777344,,
1,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,2.1457672119140625e-06,4,0.5906666666666667,1.2204244677225748,0.979280948638916,,
