accuracy_improvement_rate,client_accuracy_mean,client_accuracy_variance,client_training_time_max,client_training_time_mean,client_training_time_min,communication_compressed_cost_bytes,communication_cost_bytes,communication_cost_mb,communication_precision_mode,communication_reduction_percentage,communication_saved_bytes,communication_sparsification_enabled,f1_score,global_accuracy,global_loss,learning_rate,loss_decrease_rate,lr_adjustment_reason,lr_change_ratio,model_size_bytes,num_participating_clients,num_selected_clients,participation_rate,precision,privacy_accuracy_drop_estimate,privacy_clip_applied_fraction,privacy_enabled_fraction,privacy_noise_scale_mean,privacy_overhead_time_mean,privacy_overhead_time_total,recall,round_num,round_time,rounds_to_convergence_estimate,total_training_time
0.0,0.19106666666666666,0.00010237333333333319,0.9829518795013428,0.9767175197601319,0.9746239185333252,4216420.0,16865680,16.084365844726562,float16,50.0,4216420.0,1.0,0.1333339958675251,0.1996,2.2398621227264406,0.001,0.0,initial,1.0,1686568,5,5,1.0,0.22181013734953497,0.0,0.0,1.0,0.05,0.004426479339599609,0.022132396697998047,0.19488277678193752,0,5.0049028396606445,inf,6.049025058746338
0.3003,0.26833333333333337,6.675555555555567e-05,1.0005152225494385,0.9839356899261474,0.9776949882507324,4216420.0,16865680,16.084365844726562,float16,50.0,4216420.0,1.0,0.46861487359169596,0.4999,1.8082087589263915,0.0009200000000000001,0.43165336380004904,plateau_detected,0.9200000000000002,1686568,5,5,1.0,0.6361065016707477,0.0,0.0,1.0,0.05,0.004435873031616211,0.022179365158081055,0.4951979603001842,1,5.03986120223999,inf,12.135852098464966
0.2424,0.384,7.728888888888896e-05,0.9868481159210205,0.9803192138671875,0.975273847579956,4216420.0,16865680,16.084365844726562,float16,50.0,4216420.0,1.0,0.6402222782415912,0.6844,1.280189048576355,0.0008832000000000001,0.4798365370750428,loss_unstable,0.96,1686568,5,5,1.0,0.6768062632777492,0.0,0.0,1.0,0.05,0.004397439956665039,0.021987199783325195,0.6770836515473453,2,5.022194862365723,inf,18.23070502281189
0.1361,0.4598,0.00013647111111111143,1.01308012008667,0.9861337661743164,0.9745328426361084,4216420.0,16865680,16.084365844726562,float16,50.0,4216420.0,1.0,0.5672580834430445,0.6079,1.110779034805298,0.0008478720000000002,0.37636102930704757,loss_unstable,0.9600000000000001,1686568,5,5,1.0,0.688309920938931,0.0,0.0,1.0,0.05,0.004458189010620117,0.022290945053100586,0.5967431661643713,3,5.050923109054565,inf,24.323827028274536
0.12615,0.5016666666666667,3.3644444444444645e-05,1.0050239562988281,0.9925988197326661,0.9793221950531006,4216420.0,16865680,16.084365844726562,float16,50.0,4216420.0,1.0,0.6739338903036696,0.7042,0.9694111290931702,0.0008139571200000002,0.3176127484083176,loss_unstable,0.9600000000000001,1686568,5,5,1.0,0.7664217761607384,0.0,0.0,1.0,0.05,0.004493618011474609,0.022468090057373047,0.6937237549651689,4,5.08824610710144,126.15,30.48001790046692
