client_id,clip_applied,clip_factor,communication_compressed_bytes,communication_original_bytes,communication_precision,communication_reduction_percentage,communication_sparsification_enabled,communication_sparsity_ratio,noise_scale,num_samples,privacy_enabled,privacy_overhead_time,round_num,train_accuracy,train_loss,training_time,val_accuracy,val_loss
0,False,1.0,843284.0,1686568.0,float16,50.0,True,0.3,0.0,3000,False,6.9141387939453125e-06,0,0.17933333333333334,2.2557316811879478,1.1554102897644043,,
1,False,1.0,843284.0,1686568.0,float16,50.0,True,0.3,0.0,3000,False,2.1457672119140625e-06,0,0.19666666666666666,2.252476578394572,0.983604907989502,,
2,False,1.0,843284.0,1686568.0,float16,50.0,True,0.3,0.0,3000,False,2.1457672119140625e-06,0,0.18533333333333332,2.2535700384775796,1.0189039707183838,,
3,False,1.0,843284.0,1686568.0,float16,50.0,True,0.3,0.0,3000,False,9.5367431640625e-07,0,0.178,2.2531237659454346,0.9708559513092041,,
14,False,1.0,843284.0,1686568.0,float16,50.0,True,0.3,0.0,3000,False,2.1457672119140625e-06,0,0.17733333333333334,2.2551304658253986,0.993319034576416,,
